title,released,url
"Sejumlah Ulama Banten Gabung Gaspoll Bro, Satukan Langkah Untuk Prabowo-Gibran",06/1/2024 22:47 WIB,https://news.detik.com/pemilu/d-7128157/sejumlah-ulama-banten-gabung-gaspoll-bro-satukan-langkah-untuk-prabowo-gibran
Ada Rekayasa Lalin Jelang Peresmian Tol Pamulang-Cinere-Raya Bogor,06/1/2024 22:37 WIB,https://news.detik.com/berita/d-7128088/ada-rekayasa-lalin-jelang-peresmian-tol-pamulang-cinere-raya-bogor
Menlu Bicara Keberhasilan Diplomasi dan Keuntungan Untuk RI,06/1/2024 22:32 WIB,https://news.detik.com/berita/d-7128154/menlu-bicara-keberhasilan-diplomasi-dan-keuntungan-untuk-ri
Momen Gibran Rakabuming dan Selvi Nonton Bareng GDA 2024 di JIS,06/1/2024 22:27 WIB,https://news.detik.com/pemilu/d-7128077/momen-gibran-rakabuming-dan-selvi-nonton-bareng-gda-2024-di-jis
Menlu Retno Paparkan Dua Fokus Diplomasi Ekonomi RI,06/1/2024 22:11 WIB,https://news.detik.com/berita/d-7128151/menlu-retno-paparkan-dua-fokus-diplomasi-ekonomi-ri
Langkah Afsel Seret Israel ke Meja Hijau Dunia Mulai Tuai Dukungan,06/1/2024 22:09 WIB,https://news.detik.com/internasional/d-7128064/langkah-afsel-seret-israel-ke-meja-hijau-dunia-mulai-tuai-dukungan
PDIP Harap Jokowi Tetap Netral di Pemilu 2024,06/1/2024 22:04 WIB,https://news.detik.com/pemilu/d-7128059/pdip-harap-jokowi-tetap-netral-di-pemilu-2024
47 RT di Jakarta Masih Banjir Malam Ini,06/1/2024 21:53 WIB,https://news.detik.com/berita/d-7128055/47-rt-di-jakarta-masih-banjir-malam-ini
"Menlu: Kepemimpinan Indonesia Diakui Dunia, dari Presiden G20-Ketua ASEAN",06/1/2024 21:53 WIB,https://news.detik.com/berita/d-7128126/menlu-kepemimpinan-indonesia-diakui-dunia-dari-presiden-g20-ketua-asean
Respons Walkot Semarang Usai Perumahan BSB Mijen Kembali Banjir,06/1/2024 21:39 WIB,https://news.detik.com/berita/d-7128040/respons-walkot-semarang-usai-perumahan-bsb-mijen-kembali-banjir
Misteri Penyebab Jatuhnya Pesawat Pengebom Supersonik B-1 Lancer Milik AS,06/1/2024 21:31 WIB,https://news.detik.com/internasional/d-7128026/misteri-penyebab-jatuhnya-pesawat-pengebom-supersonik-b-1-lancer-milik-as
"Dekati Pedagang, Relawan Prabowo-Gibran Cilegon Targetkan Menang 1 Putaran",06/1/2024 21:23 WIB,https://news.detik.com/pemilu/d-7128020/dekati-pedagang-relawan-prabowo-gibran-cilegon-targetkan-menang-1-putaran
Kecaman ke Menteri Israel Buntut Serukan Warga Gaza Dipindah,06/1/2024 21:12 WIB,https://news.detik.com/internasional/d-7128004/kecaman-ke-menteri-israel-buntut-serukan-warga-gaza-dipindah
Hasto Anggap Pertemuan Jokowi dan Airlangga Hal Wajar,06/1/2024 21:07 WIB,https://news.detik.com/pemilu/d-7128003/hasto-anggap-pertemuan-jokowi-dan-airlangga-hal-wajar
Prabowo Usai Debat: Saya Agak Kecewa Narasi yang Disampaikan Paslon Lain,07/1/2024 23:51 WIB,https://news.detik.com/pemilu/d-7129571/prabowo-usai-debat-saya-agak-kecewa-narasi-yang-disampaikan-paslon-lain
Ganjar Nilai Debat Bagian dari Edukasi: Saya Tak Bicara Puas atau Tidak,07/1/2024 23:40 WIB,https://news.detik.com/pemilu/d-7129564/ganjar-nilai-debat-bagian-dari-edukasi-saya-tak-bicara-puas-atau-tidak
"Prabowo soal Tak Salaman dengan Anies: Dia Nggak Datang, Saya Lebih Tua",07/1/2024 23:26 WIB,https://news.detik.com/pemilu/d-7129554/prabowo-soal-tak-salaman-dengan-anies-dia-nggak-datang-saya-lebih-tua
"Bos PPI: Anies Gaspol Kritik Prabowo Sejak Awal, Ganjar Ikut Campur di Akhir",07/1/2024 23:23 WIB,https://news.detik.com/pemilu/d-7129553/bos-ppi-anies-gaspol-kritik-prabowo-sejak-awal-ganjar-ikut-campur-di-akhir
Supporter Prabowo-Gibran Beri Yel-yel Selamat Jalan ke Pendukung 03 Usai Debat,07/1/2024 23:23 WIB,https://news.detik.com/pemilu/d-7129551/supporter-prabowo-gibran-beri-yel-yel-selamat-jalan-ke-pendukung-03-usai-debat
Anies Ngaku Tak Lihat Prabowo Usai Debat: Tidak Tahu ke Mana Harus Salaman,07/1/2024 23:16 WIB,https://news.detik.com/pemilu/d-7129543/anies-ngaku-tak-lihat-prabowo-usai-debat-tidak-tahu-ke-mana-harus-salaman
Cak Imin Ajak Masyarakat Gunakan Kamera HP Awasi Potensi Kecurangan Pemilu,07/1/2024 23:12 WIB,https://news.detik.com/pemilu/d-7129542/cak-imin-ajak-masyarakat-gunakan-kamera-hp-awasi-potensi-kecurangan-pemilu
"Gabung Gaspoll Bro, Peternak Sapi di Madura Totalitas Dukung Prabowo-Gibran",07/1/2024 23:08 WIB,https://news.detik.com/pemilu/d-7129592/gabung-gaspoll-bro-peternak-sapi-di-madura-totalitas-dukung-prabowo-gibran
Closing Statement Lengkap 3 Capres di Debat Pilpres Ketiga,07/1/2024 22:54 WIB,https://news.detik.com/pemilu/d-7129530/closing-statement-lengkap-3-capres-di-debat-pilpres-ketiga
"Milenial Bojonegoro Gabung Gaspoll Bro, Komitmen Kampanyekan Prabowo-Gibran",07/1/2024 22:53 WIB,https://news.detik.com/pemilu/d-7129589/milenial-bojonegoro-gabung-gaspoll-bro-komitmen-kampanyekan-prabowo-gibran
"Bangunan Stasiun Maseng Kena Longsor, Perjalanan KA Bogor-Sukabumi Aman",07/1/2024 22:52 WIB,https://news.detik.com/berita/d-7129528/bangunan-stasiun-maseng-kena-longsor-perjalanan-ka-bogor-sukabumi-aman
Prabowo dan Anies Tak Salaman di Ujung Debat Ketiga Pilpres,07/1/2024 22:51 WIB,https://news.detik.com/pemilu/d-7129526/prabowo-dan-anies-tak-salaman-di-ujung-debat-ketiga-pilpres
Anies Dilaporkan ke Bawaslu Atas Dugaan Fitnah 340 Ribu Ha Lahan Prabowo,08/1/2024 23:57 WIB,https://news.detik.com/pemilu/d-7131517/anies-dilaporkan-ke-bawaslu-atas-dugaan-fitnah-340-ribu-ha-lahan-prabowo
"Usai Kampanye di Ambon, Gibran Kunjungi Bali",08/1/2024 23:56 WIB,https://news.detik.com/pemilu/d-7131516/usai-kampanye-di-ambon-gibran-kunjungi-bali
"Ganjar Bocorkan Grand Plan Ekonomi Kreatif, Singgung India hingga Korsel",08/1/2024 23:38 WIB,https://news.detik.com/pemilu/d-7131512/ganjar-bocorkan-grand-plan-ekonomi-kreatif-singgung-india-hingga-korsel
Respons MNC Group soal Tak Hentikan Aksi Pendukung Paslon 03 di Debat,08/1/2024 23:31 WIB,https://news.detik.com/pemilu/d-7131509/respons-mnc-group-soal-tak-hentikan-aksi-pendukung-paslon-03-di-debat
Ganjar Respons Jokowi: Data Pertahanan Terbuka di Website Kemenko Polhukam,08/1/2024 23:13 WIB,https://news.detik.com/pemilu/d-7131506/ganjar-respons-jokowi-data-pertahanan-terbuka-di-website-kemenko-polhukam
Bawaslu Sebut KPU Tak Beri Akses Silog untuk Awasi Distribusi Logistik Pemilu,08/1/2024 22:53 WIB,https://news.detik.com/pemilu/d-7131493/bawaslu-sebut-kpu-tak-beri-akses-silog-untuk-awasi-distribusi-logistik-pemilu
Status Tanggap Darurat Gempa Sumedang Dinyatakan Berakhir,08/1/2024 22:48 WIB,https://news.detik.com/berita/d-7131490/status-tanggap-darurat-gempa-sumedang-dinyatakan-berakhir
"Viral Serbuan Lalat di Kintamani Bikin Geli, Diduga gegara Kotoran Ayam",08/1/2024 22:31 WIB,https://news.detik.com/berita/d-7131467/viral-serbuan-lalat-di-kintamani-bikin-geli-diduga-gegara-kotoran-ayam
"Hasto Ungkit Jokowi Tanya Data Lahan ke Prabowo saat 2019, Ini Kata TKN",08/1/2024 22:26 WIB,https://news.detik.com/pemilu/d-7131461/hasto-ungkit-jokowi-tanya-data-lahan-ke-prabowo-saat-2019-ini-kata-tkn
Bawaslu Temukan Banyak Logistik Pemilu Rusak di Ratusan Daerah,08/1/2024 22:18 WIB,https://news.detik.com/pemilu/d-7131454/bawaslu-temukan-banyak-logistik-pemilu-rusak-di-ratusan-daerah
Komunitas Delman DKI Juga Gabung Gaspoll Bro Siap Menangkan Prabowo-Gibran,08/1/2024 22:13 WIB,https://news.detik.com/pemilu/d-7131522/komunitas-delman-dki-juga-gabung-gaspoll-bro-siap-menangkan-prabowo-gibran
3 Fakta Saipul Jamil Dibebaskan Usai Terbukti Negatif Narkoba,08/1/2024 22:04 WIB,https://news.detik.com/berita/d-7131444/3-fakta-saipul-jamil-dibebaskan-usai-terbukti-negatif-narkoba
"Gabung Gaspoll Bro, Perajin Batik Madura Tambah Dukungan ke Prabowo-Gibran",08/1/2024 22:01 WIB,https://news.detik.com/pemilu/d-7131520/gabung-gaspoll-bro-perajin-batik-madura-tambah-dukungan-ke-prabowo-gibran
Pemkab Lebak Akan Manfaatkan Bendungan Karian Jadi Tempat Wisata,08/1/2024 21:56 WIB,https://news.detik.com/berita/d-7131434/pemkab-lebak-akan-manfaatkan-bendungan-karian-jadi-tempat-wisata
Polisi Ajak Warga Pancoran Jaksel Hidupkan Siskamling Cegah Curanmor,09/1/2024 23:59 WIB,https://news.detik.com/berita/d-7133347/polisi-ajak-warga-pancoran-jaksel-hidupkan-siskamling-cegah-curanmor
Ma'ruf Kunjungi Pura Pakualaman Jelang Pernikahan Putra KGPAA Paku Alam X,09/1/2024 23:36 WIB,https://news.detik.com/berita/d-7133339/maruf-kunjungi-pura-pakualaman-jelang-pernikahan-putra-kgpaa-paku-alam-x
"Gempa M 4,1 Terjadi di Pangandaran",09/1/2024 23:31 WIB,https://news.detik.com/berita/d-7133338/gempa-m-4-1-terjadi-di-pangandaran
